/projectnb/ivc-ml/mqraitem/.conda/envs/geo/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
iteration started
 14%|█▎        | 150/1106 [02:22<14:18,  1.11it/s]
Epoch: 0, iteration: 0, loss: 20.651512145996094

Epoch: 0, iteration: 10, loss: 17.518552780151367

Epoch: 0, iteration: 20, loss: 10.85999870300293

Epoch: 0, iteration: 30, loss: 5.702840328216553

Epoch: 0, iteration: 40, loss: 2.0891661643981934

Epoch: 0, iteration: 50, loss: 11.258342742919922

Epoch: 0, iteration: 60, loss: 9.199129104614258

Epoch: 0, iteration: 70, loss: 3.9662439823150635

Epoch: 0, iteration: 80, loss: 1.5742076635360718

Epoch: 0, iteration: 90, loss: 7.637597560882568

Epoch: 0, iteration: 100, loss: 4.673896789550781

Epoch: 0, iteration: 110, loss: 4.841155052185059

Epoch: 0, iteration: 120, loss: 3.0500617027282715

Epoch: 0, iteration: 130, loss: 1.1022329330444336

Epoch: 0, iteration: 140, loss: 3.1900949478149414

Epoch: 0, iteration: 150, loss: 11.643357276916504

Epoch: 0, iteration: 160, loss: 1.0235111713409424

Epoch: 0, iteration: 170, loss: 4.351646900177002

Epoch: 0, iteration: 180, loss: 2.633405923843384

Epoch: 0, iteration: 190, loss: 5.4386887550354

Epoch: 0, iteration: 200, loss: 4.140132427215576

Epoch: 0, iteration: 210, loss: 4.367767333984375

Epoch: 0, iteration: 220, loss: 5.332759857177734

Epoch: 0, iteration: 230, loss: 5.19568395614624

Epoch: 0, iteration: 240, loss: 4.87336540222168

Epoch: 0, iteration: 250, loss: 4.612655162811279

Epoch: 0, iteration: 260, loss: 3.4140005111694336

Epoch: 0, iteration: 270, loss: 2.927584648132324

Epoch: 0, iteration: 280, loss: 1.062226414680481

Epoch: 0, iteration: 290, loss: 1.2444055080413818

Epoch: 0, iteration: 300, loss: 0.9539682865142822

Epoch: 0, iteration: 310, loss: 2.098604202270508

Epoch: 0, iteration: 320, loss: 2.1341450214385986

Epoch: 0, iteration: 330, loss: 2.885679244995117

Epoch: 0, iteration: 340, loss: 7.818337440490723

Epoch: 0, iteration: 350, loss: 1.9718267917633057

Epoch: 0, iteration: 360, loss: 8.38940143585205

Epoch: 0, iteration: 370, loss: 1.4430866241455078

Epoch: 0, iteration: 380, loss: 4.342373847961426

Epoch: 0, iteration: 390, loss: 5.450902938842773

Epoch: 0, iteration: 400, loss: 1.502653956413269

Epoch: 0, iteration: 410, loss: 2.7795212268829346

Epoch: 0, iteration: 420, loss: 1.7490060329437256

Epoch: 0, iteration: 430, loss: 3.6721205711364746

Epoch: 0, iteration: 440, loss: 2.3161535263061523

Epoch: 0, iteration: 450, loss: 1.7246522903442383

Epoch: 0, iteration: 460, loss: 3.9032318592071533

Epoch: 0, iteration: 470, loss: 1.553152322769165

Epoch: 0, iteration: 480, loss: 1.413524866104126

Epoch: 0, iteration: 490, loss: 1.7451128959655762

Epoch: 0, iteration: 500, loss: 1.7997899055480957

Epoch: 0, iteration: 510, loss: 1.7818297147750854

Epoch: 0, iteration: 520, loss: 2.8014657497406006

Epoch: 0, iteration: 530, loss: 1.9347699880599976

Epoch: 0, iteration: 540, loss: 1.0500540733337402

Epoch: 0, iteration: 550, loss: 2.591766834259033

Epoch: 0, iteration: 560, loss: 1.197184681892395

Epoch: 0, iteration: 570, loss: 0.7670408487319946

Epoch: 0, iteration: 580, loss: 2.7396886348724365

Epoch: 0, iteration: 590, loss: 4.076282024383545

Epoch: 0, iteration: 600, loss: 1.601090431213379

Epoch: 0, iteration: 610, loss: 2.470550060272217

Epoch: 0, iteration: 620, loss: 2.952225923538208

Epoch: 0, iteration: 630, loss: 1.7569119930267334

Epoch: 0, iteration: 640, loss: 0.9876413345336914

Epoch: 0, iteration: 650, loss: 3.0625195503234863

Epoch: 0, iteration: 660, loss: 8.419583320617676

Epoch: 0, iteration: 670, loss: 5.08514404296875

Epoch: 0, iteration: 680, loss: 1.878288745880127

Epoch: 0, iteration: 690, loss: 4.504565238952637

Epoch: 0, iteration: 700, loss: 3.1277449131011963

Epoch: 0, iteration: 710, loss: 2.5183024406433105

Epoch: 0, iteration: 720, loss: 8.966597557067871

Epoch: 0, iteration: 730, loss: 3.621941089630127

Epoch: 0, iteration: 740, loss: 1.4143445491790771

Epoch: 0, iteration: 750, loss: 1.6616507768630981

Epoch: 0, iteration: 760, loss: 1.906667947769165

Epoch: 0, iteration: 770, loss: 1.8704981803894043

